United	Unite	575	439	VBN 
Patent	Patent	1201	439	NN 
Patent	Patent	2015	465	NN 
Wilson	Wilson	571	552	NN 
Date	Date	2015	553	NN 
RAILROAD	RAILROAD	602	747	NN 
FLANGEWAY	FLANGEWAY	898	747	NN 
CLEANER	CLEANER	1248	747	NN 
Fleming	Flem	2462	751	NN 
SYSTEM	SYSTEM	603	810	NN 
et	et	2648	882	FW 
Timothy	Timothy	848	934	NN 
MN	MN	1239	997	NN 
Smith	Smith	2463	1002	NN 
Subject	Subject	848	1114	NN 
term	term	1481	1121	NN 
patent	patent	846	1182	NN 
extended	extend	1055	1176	VBN 
adjusted	adjust	1334	1176	VBN 
cited	cite	1870	1185	VBN 
examiner	examiner	2051	1185	NN 
Primary	Primary	1827	1287	NN 
J	J	2432	1287	NN 
III	III	2583	1287	NN 
Assistant	Assistant	1826	1350	NN 
McDonald	McDonald	2491	1348	NN 
Law	Law	2672	1411	NN 
Offices	Office	2777	1410	NNS 
ABSTRACT	ABSTRACT	2318	1530	JJ 
railroad	railroad	1882	1690	NN 
flangeway	flangeway	2062	1690	NN 
cleaner	cleaner	2292	1690	NN 
system	system	2460	1697	NN 
efficiently	efficiently	2697	1690	RB 
clearing	clear	2925	1690	NN 
debris	debris	1830	1753	NN 
foreign	foreign	2169	1753	JJ 
material	material	2328	1753	NN 
railroad	railroad	2653	1753	NN 
flangeway	flangeway	2826	1753	NN 
Field	Field	602	1795	NN 
Classification	Classification	786	1795	NN 
Search	Search	1101	1795	NN 
similar	similar	1950	1815	JJ 
railroad	railroad	2385	1815	NN 
flangeway	flangeway	2560	1815	NN 
cleaner	cleaner	2785	1815	NN 
system	system	2949	1821	NN 
includes	include	1830	1878	VBZ 
frame	frame	2062	1878	NN 
traveling	traveling	2279	1878	VBG 
drive	drive	2889	1878	NN 
unit	unit	3011	1878	NN 
application	application	691	1918	NN 
file	file	938	1918	NN 
complete	complete	1093	1918	JJ 
search	search	1301	1918	NN 
attached	attach	1830	1939	VBN 
frame	frame	2167	1939	NN 
cleaning	clean	2444	1939	NN 
device	device	2639	1939	NN 
rotated	rotate	2793	1939	VBN 
References	Reference	903	2019	NNS 
Cited	Cite	1161	2019	VBN 
drive	drive	1830	2002	NN 
wherein	wherein	2057	2002	NN 
cleaning	clean	2318	2002	NN 
device	device	2510	2002	NN 
clears	clear	2659	2002	VBZ 
channel	channel	2873	2002	NN 
PATENT	PATENT	881	2119	NN 
DOCUMENTS	DOCUMENT	1085	2119	NNS 
Fisher	Fisher	1093	2217	NN 
Drawing	Draw	2431	2212	NN 
Sheets	Sheet	2640	2212	NNS 
Patent	Patent	670	327	NN 
Sheet	Sheet	1763	351	NN 
o	o	777	1194	NN 
O	O	2825	1153	NN 
vA	vA	778	1264	NN 
LL	LL	2825	1272	NN 
BI	BI	1940	351	NNS 
ms	m	1078	445	NNS 
trigger	trigger	460	528	NN 
signals	signal	682	528	NNS 
drive	drive	919	528	NN 
unit	unit	1037	528	NN 
railroad	railroad	1332	528	NN 
flangeway	flangeway	1511	528	NN 
cleaner	cleaner	461	589	NN 
system	system	627	596	NN 
start	start	1034	596	NN 
cleaning	clean	1214	589	NN 
device	device	1405	589	NN 
Drive	Drive	1007	708	NN 
Unit	Unit	1137	708	NN 
drive	drive	606	834	NN 
unit	unit	722	834	NN 
preferably	preferably	923	834	RB 
comprised	comprise	1151	834	VBN 
motor	motor	1467	840	NN 
drive	drive	1062	895	NN 
unit	unit	1185	895	NN 
preferably	preferably	1508	895	RB 
hydraulically	hydraulically	460	958	RB 
drive	drive	1000	958	NN 
unit	unit	1117	958	NN 
preferably	preferably	1321	958	RB 
attached	attach	1550	958	VBN 
support	support	595	1026	NN 
frame	frame	1149	1020	NN 
drive	drive	1459	1020	NN 
unit	unit	1576	1020	NN 
rotates	rotate	460	1089	NNS 
cleaning	clean	651	1083	NN 
device	device	843	1083	NN 
spindle	spindle	1491	1083	NN 
cleaning	clean	612	1144	NN 
